"padacchedah","anvaya","spart"
"सरस्वती केतुना(प्रज्ञया) महः अर्णः प्र_चेतयति विश्वाः धियः विराजति","महः अर्णः सरस्वती प्र_चेतयति केतुना(प्रज्ञया) धियः विश्वाः विराजति"," म॒हो अर्णः॒ सर॑स्वती॒ प्र चे॑तयति के॒तुना॑ ।# धियो॒ विश्वा॒ वि रा॑जति ॥"
"सु-रूप-कृत्नुम् (इन्द्रम्) सु-दुघाम् इव गो-दुहे ऊतये द्यवि-द्यवि (वयं) जुहूमसि","सु-रूप-कृत्नुम् ऊतये सु-दुघाम् इव गो-दुहे जुहूमसि द्यवि-द्यवि (इन्द्रम्) (वयं)"," सु॒रू॒प॒कृ॒त्नुमू॒तये॑ सु॒दुघा॑मिव गो॒दुहे॑ ।# जु॒हू॒मसि॒ द्यवि॑द्यवि ॥"
"सोम-पाः रेवतः मदः गो-दाः इत्(एव) (अस्ति) (त्वं) नः सवना(सवनानि) उप_आ_गहि सोमस्य पिब","नः सवना(सवनानि) उप_आ_गहि सोमस्य सोम-पाः पिब गो-दाः इत्(एव) रेवतः मदः (अस्ति) (त्वं)"," उप॑ नः॒ सव॒ना ग॑हि॒ सोम॑स्य सोमपाः पिब ।# गो॒दा इद्रे॒वतो॒ मदः॑ ॥"
"अथा ते अन्तमानाम् सु-मतीनां (वयं) विद्याम नः अति मा ख्यः (त्वं) आगहि","अथा ते अन्तमानाम् विद्याम सु-मतीनां मा नः अति ख्यः आगहि (वयं) (त्वं)"," अथा॑ ते॒ अन्त॑मानां वि॒द्याम॑ सुमती॒नाम् ।# मा नो॒ अति॑ ख्य॒ आ ग॑हि ॥"
"यः ते सखिभ्यः आ वरम् (प्रयच्छति) (तं) विग्रं(मेधाविनं) अ-स्तृतम् विपश्चितं इन्द्रं (त्वं) पृच्छा(पृच्छ) परा_इहि(परेहि)","परा_इहि(परेहि) विग्रं(मेधाविनं) अ-स्तृतम् इन्द्रं पृच्छा(पृच्छ) विपश्चितं यः ते सखिभ्यः आ वरम् (प्रयच्छति) (तं) (त्वं)"," परे॑हि॒ विग्र॒मस्तृ॑त॒मिन्द्रं॑ पृच्छा विप॒श्चित॑म् ।# यस्ते॒ सखि॑भ्य॒ आ वर॑म् ॥"
"इन्द्रे दुवः दधानाः इत् (ते) नः (इन्द्रं) ब्रुवन्तु उत निदः (इतः) अन्यतः चित्(अपि) निर्_आरत","उत ब्रुवन्तु नः निदः अन्यतः चित्(अपि) निर्_आरत दधानाः इन्द्रे इत् दुवः (ते) (इन्द्रं) (इतः)"," उ॒त ब्रु॑वन्तु नो॒ निदो॒ निर॒न्यत॑श्चिदारत ।# दधा॑ना॒ इन्द्र॒ इद्दुवः॑ ॥"
"दस्म कृष्टयः अरिः उत(अपि) नः सु-भगान् वोचेयुः इन्द्रस्य शर्मणि (वयं) स्याम इत्(एव)","उत(अपि) नः सु-भगान् अरिः वोचेयुः दस्म कृष्टयः स्याम इत्(एव) इन्द्रस्य शर्मणि (वयं)"," उ॒त नः॑ सु॒भगाँ॑ अ॒रिर्वो॒चेयु॑र्दस्म कृ॒ष्टयः॑ ।# स्यामेदिन्द्र॑स्य॒ शर्म॑णि ॥"
"आशवे(इन्द्राय) (त्वं)(यजमानः) आशुं यज्ञ-श्रियं नृ-मादनं पतयत्(पतयन्तम्) मन्दयत्-सखम् ईम्(इदम्) (सोमं) आ_भर","ईम्(इदम्) आशुं आशवे(इन्द्राय) आ_भर यज्ञ-श्रियं नृ-मादनं पतयत्(पतयन्तम्) मन्दयत्-सखम् (त्वं)(यजमानः) (सोमं)"," एमा॒शुमा॒शवे॑ भर यज्ञ॒श्रियं॑ नृ॒माद॑नम् ।# प॒त॒यन्म॑न्द॒यत्स॑खम् ॥"
"शत-क्रतो अस्य(सोमस्य) (रसं) पीत्वा वृत्राणां घनः (त्वं) अभवः वाजेषु वाजिनं प्र_आवः","अस्य(सोमस्य) पीत्वा शत-क्रतो घनः वृत्राणां अभवः प्र_आवः वाजेषु वाजिनं (रसं) (त्वं)"," अ॒स्य पी॒त्वा श॑तक्रतो घ॒नो वृ॒त्राणा॑मभवः ।# प्रावो॒ वाजे॑षु वा॒जिन॑म् ॥"
"शत-क्रतो इन्द्र धनानां सातये वाजेषु वाजिनं तं त्वा (वयं) वाजयामः","तं त्वा वाजेषु वाजिनं वाजयामः शत-क्रतो धनानां इन्द्र सातये (वयं)"," तं त्वा॒ वाजे॑षु वा॒जिनं॑ वा॒जया॑मः शतक्रतो ।# धना॑नामिन्द्र सा॒तये॑ ॥"
"महान् सु-पारः सुन्वतः सखा यः(इन्द्रः) रायः अवनिः (अस्ति) तस्मा(तस्मै) इन्द्राय (यूयं) गायत","यः(इन्द्रः) रायः अवनिः महान् सु-पारः सुन्वतः सखा तस्मा(तस्मै) इन्द्राय गायत (अस्ति) (यूयं)"," यो रा॒यो॒३॒॑वनि॑र्म॒हान्त्सु॑पा॒रः सु॑न्व॒तः सखा॑ ।# तस्मा॒ इन्द्रा॑य गायत ॥"
"स्तोम-वाहसः सखायः (यूयं) नि_षीदत इन्द्रम् अभि प्र_गायत तु आ_इत आ_(इत)","आ_इत तु आ_(इत) नि_षीदत इन्द्रम् अभि प्र_गायत सखायः स्तोम-वाहसः (यूयं)"," आ त्वेता॒ निषी॑द॒तेन्द्र॑म॒भि प्र गा॑यत ।# सखा॑यः॒ स्तोम॑वाहसः ॥"
"(सखायः) (यूयं) सचा सोमे सुते पुरूतमम् पुरूणां वार्याणां ईशानं इन्द्रम् (अभि) (प्र_गायत)","पुरूतमम् पुरूणां ईशानं वार्याणां इन्द्रम् सोमे सचा सुते (सखायः) (यूयं) (अभि) (प्र_गायत)"," पु॒रू॒तमं॑ पुरू॒णामीशा॑नं॒ वार्या॑णाम् ।# इन्द्रं॒ सोमे॒ सचा॑ सु॒ते ॥"
"सः घा(घ) नः योगे आभुवत् सः राये (आभुवत्) सः पुरं-ध्याम् (आभुवत्) सः वाजेभिः (सह) नः आ_गमत्","सः घा(घ) नः योगे आभुवत् सः राये सः पुरं-ध्याम् आ_गमत् वाजेभिः सः नः (आभुवत्) (आभुवत्) (सह)"," स घा॑ नो॒ योग॒ अ भु॑व॒त्स रा॒ये स पुरं॑ध्याम् ।# गम॒द्वाजे॑भि॒रा स नः॑ ॥"
"यस्य संस्थे (युक्तौ) हरी समत्सु शत्रवः न वृण्वते तस्मै इन्द्राय (यूयं) गायत","यस्य संस्थे न वृण्वते हरी समत्सु शत्रवः तस्मै इन्द्राय गायत (युक्तौ) (यूयं)"," यस्य॑ सं॒स्थे न वृ॒ण्वते॒ हरी॑ स॒मत्सु॒ शत्र॑वः ।# तस्मा॒ इन्द्रा॑य गायत ॥"
"इमे सुताः शुचयः दधि-आशिरः सोमासः सुत-पाव्ने वीतये यन्ति","सुत-पाव्ने सुताः इमे शुचयः यन्ति वीतये सोमासः दधि-आशिरः"," सु॒त॒पाव्ने॑ सु॒ता इ॒मे शुच॑यो यन्ति वी॒तये॑ ।# सोमा॑सो॒ दध्या॑शिरः ॥"
"सु-क्रतो इन्द्र त्वं सुतस्य पीतये ज्यैष्ठ्याय सद्यः वृद्धः अजायथाः","त्वं सुतस्य पीतये सद्यः वृद्धः अजायथाः इन्द्र ज्यैष्ठ्याय सु-क्रतो"," त्वं सु॒तस्य॑ पी॒तये॑ स॒द्यो वृ॒द्धो अ॑जायथाः ।# इन्द्र॒ ज्यैष्ठ्या॑य सुक्रतो ॥"
"गिर्वणः इन्द्र त्वा आशवः सोमासः आ_विशन्तु1 ते प्र-चेतसे (सोमासः) शं सन्तु","त्वा आ_विशन्तु1 आशवः सोमासः इन्द्र गिर्वणः शं ते सन्तु प्र-चेतसे (सोमासः)"," आ त्वा॑ विशन्त्वा॒शवः॒ सोमा॑स इन्द्र गिर्वणः ।# शं ते॑ सन्तु॒ प्रचे॑तसे ॥"
"शतक्रतो (यथा) त्वां स्तोमाः अवीवृधन् त्वां उक्था(उक्थानि) (अवीवृधन्) (तथा) नः गिरः त्वां वर्धन्तु","त्वां स्तोमाः अवीवृधन् त्वां उक्था(उक्थानि) शतक्रतो त्वां वर्धन्तु नः गिरः (यथा) (अवीवृधन्) (तथा)"," त्वां स्तोमा॑ अवीवृध॒न्त्वामु॒क्था श॑तक्रतो ।# त्वां व॑र्धन्तु नो॒ गिरः॑ ॥"
"अक्षित-ऊतिः इन्द्रः यस्मिन्(वाजे) विश्वानि पौंस्या (सन्ति) (तादृशं) इमं सहस्रिणं वाजं सनेत्","(सन्ति) अक्षित-ऊतिः सनेत् इमं वाजं इन्द्रः सहस्रिणं यस्मिन्(वाजे) विश्वानि पौंस्या (तादृशं)"," अक्षि॑तोतिः सनेदि॒मं वाज॒मिन्द्रः॑ सह॒स्रिण॑म् ।# यस्मि॒न्विश्वा॑नि॒ पौंस्या॑ ॥"
"गिर्वणः इन्द्र नः तनूनां मर्त्ताः मा अभि द्रुहन् ईशानः (त्वं) वधं यवया(यवय)","मा नः मर्त्ताः अभि द्रुहन् तनूनां इन्द्र गिर्वणः ईशानः यवया(यवय) वधं (त्वं)"," मा नो॒ मर्ता॑ अ॒भिद्रु॑हन्त॒नूना॑मिन्द्र गिर्वणः ।# ईशा॑नो यवया व॒धम् ॥"
"ब्रध्नम् अ-रुषं चरन्तं (इन्द्रं) परि(परितः) तस्थुषः (प्राणिनः) युञ्जन्ति दिवि रोचना रोचन्ते","युञ्जन्ति ब्रध्नम् अ-रुषं चरन्तं परि(परितः) तस्थुषः रोचन्ते रोचना दिवि (इन्द्रं) (प्राणिनः)"," यु॒ञ्जन्ति॑ ब्र॒ध्नम॑रु॒षं चर॑न्तं॒ परि॑त॒स्थुषः॑ ।# रोच॑न्ते रोच॒ना दि॒वि ॥"
"अस्य रथे काम्या(काम्यौ) वि-पक्षसा(पक्षसौ) शोणा(शोणौ) धृष्णू नृ-वाहसा(वाहसौ) हरी युञ्जन्ति (सारथयः)","युञ्जन्ति अस्य काम्या(काम्यौ) हरी वि-पक्षसा(पक्षसौ) रथे शोणा(शोणौ) धृष्णू नृ-वाहसा(वाहसौ) (सारथयः)"," यु॒ञ्जन्त्य॑स्य॒ काम्या॒ हरी॒ विप॑क्षसा॒ रथे॑ ।# शोणा॑ धृ॒ष्णू नृ॒वाह॑सा ॥"
"मर्याः उषद्भिः अ-केतवे(केतोः) केतुं कृण्वन् अ-पेशसे(पेशसः) पेशः (कृण्वन्) (त्वं) समजायथाः","केतुं कृण्वन् अ-केतवे(केतोः) पेशः मर्याः अ-पेशसे(पेशसः) उषद्भिः समजायथाः (कृण्वन्) (त्वं)"," के॒तुं कृ॒ण्वन्न॑के॒तवे॒ पेशो॑ मर्या अपे॒शसे॑ ।# समु॒षद्भि॑रजायथाः ॥"
"आत्(अनन्तरं) अह यज्ञियं नाम दधानाः (मरुतः) स्वधाम् अनु पुनः गर्भत्वम् आ_ईरिरे","आत्(अनन्तरं) अह स्वधाम् अनु पुनः गर्भत्वम् आ_ईरिरे दधानाः नाम यज्ञियं (मरुतः)"," आदह॑ स्व॒धामनु॒ पुन॑र्गर्भ॒त्वमे॑रि॒रे ।# दधा॑ना॒ नाम॑ य॒ज्ञिय॑म् ॥"
"इन्द्र वीळु चित्(अपि) आ-रुजत्नुभिः वह्निभिः (मरुद्भिः) गुहा(गुहायां) चित् उस्रियाः (त्वं) अनु_अविन्दः","वीळु चित्(अपि) आ-रुजत्नुभिः गुहा(गुहायां) चित् इन्द्र वह्निभिः अनु_अविन्दः उस्रियाः (मरुद्भिः) (त्वं)"," वी॒ळु चि॑दारुज॒त्नुभि॒र्गुहा॑ चिदिन्द्र॒ वह्नि॑भिः ।# अवि॑न्द उ॒स्रिया॒ अनु॑ ॥"
"यथा मतिं देवयन्तः गिरः विदद्वसुं श्रुतं महाम्(महान्तम्) (मरुद्गणम्) अच्छा(अच्छ) अनूषत","देवयन्तः यथा मतिं अच्छा(अच्छ) विदद्वसुं गिरः महाम्(महान्तम्) अनूषत श्रुतं (मरुद्गणम्)"," दे॒व॒यन्तो॒ यथा॑ म॒तिमच्छा॑ वि॒दद्व॑सुं॒ गिरः॑ ।# म॒हाम॑नूषत श्रु॒तम् ॥"
"मरुद्गण अ-बिभ्युषा इन्द्रेण सं-जग्मानः (त्वं) सं_दृक्षसे हि मन्दू समान-वर्चसा(वर्चसौ) इन्द्रमरुद्गणौ) (स्तः)","इन्द्रेण हि सं_दृक्षसे सं-जग्मानः अ-बिभ्युषा मन्दू समान-वर्चसा(वर्चसौ) मरुद्गण (त्वं) इन्द्रमरुद्गणौ) (स्तः)"," इन्द्रे॑ण॒ सं हि दृक्ष॑से संजग्मा॒नो अबि॑भ्युषा ।# म॒न्दू स॑मा॒नव॑र्चसा ॥"
"मखः इन्द्रस्य(इन्द्रम्) अनवद्यैः अभिद्युभिः काम्यैः गणैः (सह) सहस्वत्(सहस्वन्तम्) अर्चति","अनवद्यैः अभिद्युभिः मखः सहस्वत्(सहस्वन्तम्) अर्चति गणैः इन्द्रस्य(इन्द्रम्) काम्यैः (सह)"," अ॒न॒व॒द्यैर॒भिद्यु॑भिर्म॒खः सह॑स्वदर्चति ।# ग॒णैरिन्द्र॑स्य॒ काम्यैः॑ ॥"
"परिज्मन् अतः(अन्तरिक्षात्) दिवः(द्युलोकात्) रोचनात्(आदित्यमण्डलात्) अधि वा आगहि अस्मिन् गिरः सम्_ऋञ्जते","अतः(अन्तरिक्षात्) परिज्मन् आगहि दिवः(द्युलोकात्) वा रोचनात्(आदित्यमण्डलात्) अधि अस्मिन् सम्_ऋञ्जते गिरः"," अतः॑ परिज्म॒न्ना ग॑हि दि॒वो वा॑ रोच॒नादधि॑ ।# सम॑स्मिन्नृञ्जते॒ गिरः॑ ॥"
"इतः पार्थिवात् वा दिवः वा महः(महतः) रजसः वा इन्द्रं सातिं अधि_ईमहे","इतः वा सातिं अधि_ईमहे दिवः वा पार्थिवात् इन्द्रं महः(महतः) वा रजसः"," इ॒तो वा॑ सा॒तिमीम॑हे दि॒वो वा॒ पार्थि॑वा॒दधि॑ ।# इन्द्रं॑ म॒हो वा॒ रज॑सः ॥"
"गाथिनः इन्द्रं इत् बृहत्(बृहता) अनूषत अर्किणः अर्केभिः इन्द्रम् [अनूषत] (अध्वर्यवः) वाणीः(वाग्भिः) इन्द्रम् [अनूषत]","इन्द्रं इत् गाथिनः बृहत्(बृहता) इन्द्रम् अर्केभिः अर्किणः इन्द्रम् वाणीः(वाग्भिः) अनूषत [अनूषत] (अध्वर्यवः) [अनूषत]"," इन्द्र॒मिद्गा॒थिनो॑ बृ॒हदिन्द्र॑म॒र्केभि॑र॒र्किणः॑ ।# इन्द्रं॒ वाणी॑रनूषत ॥"
"आ_संमिश्लः इन्द्रः इत् वचो-युजा(युजोः) हर्योः सचा (अस्ति) वज्री हिरण्ययः इन्द्रः (अस्ति)","इन्द्रः इत् हर्योः सचा आ_संमिश्लः वचो-युजा(युजोः) इन्द्रः वज्री हिरण्ययः (अस्ति) (अस्ति)"," इन्द्र॒ इद्धर्योः॒ सचा॒ संमि॑श्ल॒ आ व॑चो॒युजा॑ ।# इन्द्रो॑ व॒ज्री हि॑र॒ण्ययः॑ ॥"
"इन्द्रः दीर्घाय चक्षसे दिवि सूर्यम् आ_रोहयत् गोभिः अद्रिं वि_ऐरयत् (सूर्यः)","इन्द्रः दीर्घाय चक्षसे सूर्यम् आ_रोहयत् दिवि गोभिः अद्रिं वि_ऐरयत् (सूर्यः)"," इन्द्रो॑ दी॒र्घाय॒ चक्ष॑स॒ आ सूर्यं॑ रोहयद्दि॒वि ।# वि गोभि॒रद्रि॑मैरयत् ॥"
