"padacchedah","anvaya","spart"
"अन्यत् एव आहुः सम्भवात् (फलम्); अन्यत् आहुः असम्भवात् (फलम्_; इति शुश्रुम धीराणां ये नः तत् विचचक्षिरे (वचनम्) (विवेचनम्)","(फलम्) सम्भवात् अन्यत् एव आहुः; (फलम्_ असम्भवात् अन्यत् आहुः; (विवेचनम्) इति धीराणां (वचनम्) शुश्रुम ये नः तत् विचचक्षिरे","अन्यदेवाहुः सम्भवादन्यदाहुरसम्भवात्।#इति शुश्रुम धीराणां ये नस्तद्विचचक्षिरे॥१३॥"
"सम्भूतिम् च विनाशम् च यः तत् वेद उभयं सह विनाशेन मृत्युं तीर्त्वा सम्भूत्या अमृतम् अश्नुते (सः)","सम्भूतिम् च विनाशम् च यः तत् उभयं सह वेद (सः) विनाशेन मृत्युं तीर्त्वा सम्भूत्या अमृतम् अश्नुते","सम्भूतिं च विनाशं च यस्तद्वेदोभयं सह।#विनाशेन मृत्युं तीर्त्वा सम्भूत्याऽमृतमश्नुते॥१४॥"
"हिरण्मयेन पात्रेण सत्यस्य अपिहितम् मुखम् [अस्ति] .; तत् त्वम् पूषन् अपावृणु सत्य-धर्माय दृष्टये .","हिरण्मयेन पात्रेण सत्यस्य अपिहितम् मुखम् [अस्ति] .; तत् त्वम् पूषन् अपावृणु सत्य-धर्माय दृष्टये .","हिरण्मयेन पात्रेण सत्यस्यापिहितं मुखम्।#तत्त्वं पूषन्नपावृणु सत्यधर्माय दृष्टये॥१५॥"
"पूषन् एकर्षे यम सूर्य प्राजापत्य व्यूह रश्मीन् .; समूह तेजः .; यत् ते रूपम् कल्याणतमम् तत् ते पश्यामि (प्रसादात्) (अस्ति) .; यः असौ असौ पुरुषः सः अहम् अस्मि (अस्ति) .","पूषन् एकर्षे यम सूर्य प्राजापत्य व्यूह रश्मीन् .; समूह तेजः .; यत् . ते रूपम् कल्याणतमम् तत् ते पश्यामि (प्रसादात्) (अस्ति); यः असौ असौ पुरुषः सः अहम् अस्मि (अस्ति) .","पूषन्नेकर्षे यम सूर्य प्राजापत्य व्यूह रश्मीन् समूह तेजः।#यत्ते रूपं कल्याणतमं तत्ते पश्यामि योऽसावसौ पुरुषः सोऽहमस्मि॥१६॥"
"अनिलम् अमृतम् अथ (प्राप्नोतु) (मम); शरीरं भस्म-अन्तम् (भूयात्); क्रतो स्मर कृतं स्मर","अनिलम् अमृतम् अथ (प्राप्नोतु) (मम); शरीरं भस्म-अन्तम् (भूयात्); क्रतो स्मर कृतं स्मर","वायुरनिलममृतमथेदं भस्मान्तं शरीरम्।#ॐ क्रतो स्मर कृतं स्मर क्रतो स्मर कृतम् स्मर॥१७॥"
"अग्ने नय सुपथा राये अस्मान् देव विश्वानि वयुनानि; विद्वान् युयोधि अस्मत् जुहुराणम् एनः; भूयिष्ठाम् ते नम-उक्तिम् विधेम (वयम्)","अग्ने नय सुपथा राये अस्मान् देव विश्वानि वयुनानि; विद्वान् युयोधि अस्मत् जुहुराणम् एनः; भूयिष्ठाम् ते नम-उक्तिम् विधेम (वयम्)","अग्ने नय सुपथा राये अस्मान् विश्वानि देव वयुनानि विद्वान्।#युयोध्यस्मज्जुहुराणमेनो भूयिष्ठां ते नमौक्तिं विधेम॥१८॥"
"यस्मिन् सर्वाणि भूतानि आत्मा एव अभूत् विजानतः तत्र कः मोहः कः शोकः एकत्वम् अनुपश्यतः (च) (अस्ति)","यस्मिन् विजानतः आत्मा सर्वाणि भूतानि एव अभूत् तत्र एकत्वम् अनुपश्यतः कः मोहः कः शोकः (च) (अस्ति)","यस्मिन् सर्वाणि भूतान्यात्मैवाभूद् विजानतः। तत्र को मोहः कः शोक एकत्वमनुपश्यतः॥"
"सः पर्यगात् शुक्रम् अ-कायम् अ-व्रणम् अ-स्नाविरम् शुद्धम् अ-पाप-विद्धम् कविः मनीषी परिभूः स्वयम्-भूः याथातथ्यतः अर्थान् व्यदधात् शाश्वतीभ्यः समाभ्यः .","सः मनीषी परिभूः स्वयम्-भूः याथातथ्यतः अर्थान् व्यदधात् शाश्वतीभ्यः समाभ्यः . पर्यगात् शुक्रम् अ-कायम् अ-व्रणम् अ-स्नाविरम् शुद्धम् अ-पाप-विद्धम् कविः","सः पर्यगाच्छुक्रमकायमव्रणमस्नाविरम् शुद्धमपापविद्धम् कविर्मनीषी परिभूः स्वयम्भूः याथातथ्यतोऽर्थान् व्यदधाच्छाश्वतीभ्यः समाभ्यः"
"ॐ सह नौ अवतु सह नौ भुनक्तु सह वीर्यम् करवावहै तेजस्वि नौ अधीतम् अस्तु मा विद्विषावहै ॐ शान्तिः शान्तिः शान्तिः","ॐ करवावहै तेजस्वि नौ अधीतम् अस्तु मा विद्विषावहै ॐ शान्तिः शान्तिः सह शान्तिः नौ अवतु सह नौ भुनक्तु सह वीर्यम्","ॐ सह नाववतु। सह नौ भुनक्तु। सह वीर्यं करवावहै। तेजस्वि नावधीतमस्तु। मा विद्विषावहै।#ॐ शान्तिः शान्तिः शान्तिः॥"
"उशन् ह वै वाजश्रवसः सर्व-वेदसम् ददौ तस्य ह नचिकेताः नाम पुत्रः आस","उशन् नाम पुत्रः आस ह वै वाजश्रवसः सर्व-वेदसम् ददौ तस्य ह नचिकेताः","उशन्ह वै वाजश्रवसः सर्ववेदसं ददौ।#तस्य ह नचिकेता नाम पुत्र आस॥1॥"
"तम् ह कुमारम् सन्तम् दक्षिणासु नीयमानासु श्रद्धा आविवेश सः अमन्यत","तम् अमन्यत ह कुमारम् सन्तम् दक्षिणासु नीयमानासु श्रद्धा आविवेश सः","तं ह कुमारं सन्तं दक्षिणासु नीयमानासु श्रद्धाविवेश सोऽमन्यत॥2॥"
"पीत-उदकाः जग्ध-तृणाः दुग्ध-दोहाः निर्-इन्द्रियाः अनन्दाः नाम ते लोकाः (सन्ति) तान् सः गच्छति ताः ददत्","पीत-उदकाः तान् सः गच्छति ताः ददत् जग्ध-तृणाः दुग्ध-दोहाः निर्-इन्द्रियाः अनन्दाः नाम ते लोकाः (सन्ति)","पीतोदका जग्धतृणादुग्धदोहा निरिन्द्रियाः।#अनन्दा नाम ते लोकास्तान्स गच्छति ता ददत्॥3॥ "
"","","स होवाच पितरं तत कस्मै मां दास्यसीति द्वितीयं तृतीयं तं होवाच मृत्यवे त्वा ददामीति ॥ ४ ॥"
"बहूनाम् एमि प्रथमः बहूनाम् एमि मध्यमः किंस्वित् यमस्य कर्तव्यम् (अस्ति) यत् मया अद्य करिष्यति","बहूनाम् (अस्ति) यत् मया अद्य करिष्यति एमि प्रथमः बहूनाम् एमि मध्यमः किंस्वित् यमस्य कर्तव्यम्","बहूनामेमि प्रथमो बहूनामेमि मध्यमः।#किं स्विद्यमस्य कर्तव्यं यन्मयाद्य करिष्यति॥5॥"
"अनुपश्य यथा पूर्वे प्रतिपश्य तथा अपरे सस्यम् इव मर्त्यः पच्यते सस्यम् इव आजायते पुनः","अनुपश्य पच्यते सस्यम् इव आजायते पुनः यथा पूर्वे प्रतिपश्य तथा अपरे सस्यम् इव मर्त्यः","अनुपश्य यथा पूर्वे प्रतिपश्य तथापरे।#सस्यमिव मर्त्यः पच्यते सस्यमिवाजायते पुनः॥6॥"
"वैश्वानरः प्रविशति अतिथिः ब्राह्मणः गृहान् तस्य एताम् शान्तिम् कुर्वन्ति हर वैवस्वत उदकम्","वैश्वानरः हर वैवस्वत उदकम् प्रविशति अतिथिः ब्राह्मणः गृहान् तस्य एताम् शान्तिम् कुर्वन्ति","वैश्वानरः प्रविशति अतिथिर्ब्राह्मणो गृहान्।#तस्यैतां शान्तिं कुर्वन्ति हर वैवस्वतोदकम्॥7॥ "
"आशा-प्रतीक्षे सङ्गतम् सूनृताम् च इष्ट-आपूर्ते पुत्र-पशून् च सर्वान् एतद् वृङ्क्ते पुरुषस्य अल्प-मेधसः यस्य अनश्नन् वसति ब्राह्मणः गृहे","आशा-प्रतीक्षे वृङ्क्ते पुरुषस्य अल्प-मेधसः यस्य अनश्नन् वसति ब्राह्मणः गृहे सङ्गतम् सूनृताम् च इष्ट-आपूर्ते पुत्र-पशून् च सर्वान् एतद्","आशा-प्रतीक्षे सङ्गतं सूनृतां च इष्ट-आपूर्ते पुत्र-पशूंश्च सर्वान्।#एतद्वृङ्क्ते पुरुषस्याल्पमेधसो यस्यानश्नन्वसति ब्राह्मणो गृहे॥8॥ "
"तिस्रः रात्रीः यद् अवात्सीः गृहे मे अनश्नन् ब्रह्मन् अतिथिः नमस्यः नमः ते अस्तु ब्रह्मन् स्वस्ति मे अस्तु तस्मात् प्रति त्रीन् वरान् वृणीष्व","तिस्रः नमस्यः नमः ते अस्तु ब्रह्मन् स्वस्ति मे अस्तु तस्मात् प्रति रात्रीः त्रीन् वरान् वृणीष्व यद् अवात्सीः गृहे मे अनश्नन् ब्रह्मन् अतिथिः","तिस्रो रात्रीर्यदवात्सीर्गृहे मे अनश्नन्ब्रह्मन्नतिथिर्नमस्यः।#नमस्तेऽस्तु ब्रह्मन्स्वस्ति मेऽस्तु तस्मात्प्रति त्रीन्वरान्वृणीष्व॥9॥"
"शान्त-सङ्कल्पः सु-मनाः यथा स्यात् वीत-मन्युः गौतमः मा(माम्) अभि मृत्यो त्वत् प्रसृष्टम् मा(माम्) अभिवदेत् प्रतीतः एतत् त्रयाणाम् प्रथमम् वरम् वृणे","शान्त-सङ्कल्पः त्वत् प्रसृष्टम् मा(माम्) अभिवदेत् प्रतीतः एतत् त्रयाणाम् प्रथमम् वरम् वृणे सु-मनाः यथा स्यात् वीत-मन्युः गौतमः मा(माम्) अभि मृत्यो","शान्तसङ्कल्पः सुमना यथा स्याद्वीतमन्युर्गौतमो माभिमृत्यो।#त्वत्प्रसृष्टं माभिवदेत्प्रतीत एतत्त्रयाणां प्रथमं वरं वृणे॥10॥"
"यथा पुरस्तात् भविता प्रतीतः औद्दालकिः आरुणिः मत् प्रसृष्टः सुखम् रात्रीः शयिता वीत-मन्युः त्वाम् ददृशिवान् मृत्यु-मुखात् प्रमुक्तम्","यथा रात्रीः शयिता वीत-मन्युः त्वाम् ददृशिवान् मृत्यु-मुखात् प्रमुक्तम् पुरस्तात् भविता प्रतीतः औद्दालकिः आरुणिः मत् प्रसृष्टः सुखम्","यथा पुरस्ताद्भविता प्रतीत औद्दालकिरारुणिर्मत्प्रसृष्टः।#सुखं रात्रीः शयिता वीतमन्युस्त्वां ददृशिवान्मृत्युमुखात्प्रमुक्तम्॥11॥ "
"स्वर्गे लोके न भयम् किञ्चन अस्ति न तत्र त्वम् न जरया बिभेति उभे तीर्त्वा अशनाया-पिपासे शोक-अतिगः मोदते स्वर्ग-लोके","स्वर्गे न जरया बिभेति उभे तीर्त्वा अशनाया-पिपासे शोक-अतिगः मोदते स्वर्ग-लोके लोके न भयम् किञ्चन अस्ति न तत्र त्वम्","स्वर्गे लोके न भयं किञ्चनास्ति न तत्र त्वं न जरया बिभेति।#उभे तीर्त्वा अशनायापिपासे शोकातिगो मोदते स्वर्गलोके॥12॥ "
"सः त्वम् अग्निम् स्वर्ग्यम् अध्येषि मृत्यो प्रब्रूहि त्वम् श्रद्दधानाय मह्यम् स्वर्ग-लोकाः अमृतत्वम् भजन्ते एतत् द्वितीयेन वृणे वरेण","सः मह्यम् स्वर्ग-लोकाः अमृतत्वम् भजन्ते एतत् द्वितीयेन वृणे वरेण त्वम् अग्निम् स्वर्ग्यम् अध्येषि मृत्यो प्रब्रूहि त्वम् श्रद्दधानाय","स त्वमग्निं स्वर्ग्यमध्येषि मृत्यो प्रब्रूहि तं श्रद्दधानाय मह्यम्।#स्वर्गलोका अमृतत्वं भजन्त एतद्द्वितीयेन वृणे वरेण॥13॥ "
"प्र ते ब्रवीमि तत् उ मे निबोध स्वर्ग्यम् अग्निम् नचिकेतः प्रजानन् अनन्त-लोक-आप्तिम् (अस्ति) अथ उ प्रतिष्ठाम् विद्धि त्वम् एतम् निहितम् गुहायाम्","प्र नचिकेतः प्रजानन् अनन्त-लोक-आप्तिम् (अस्ति) अथ उ प्रतिष्ठाम् विद्धि त्वम् एतम् ते निहितम् गुहायाम् ब्रवीमि तत् उ मे निबोध स्वर्ग्यम् अग्निम्","प्र ते ब्रवीमि तदु मे निबोध स्वर्ग्यमग्निं नचिकेतः प्रजानन्।#अनन्तलोकाप्तिमथो प्रतिष्ठां विद्धि त्वमेतं निहितं गुहायाम्॥14॥ "
"लोक-आदिम् अग्निम् तम् उवाच तस्मै याः इष्टकाः यावतीः वा यथा वा सः च अपि तत् प्रत्यवदत् यथा उक्तम् अथ अस्य मृत्युः पुनः एव आह तुष्टः","लोक-आदिम् यथा वा सः च अपि तत् प्रत्यवदत् यथा उक्तम् अथ अग्निम् अस्य मृत्युः पुनः एव आह तुष्टः तम् उवाच तस्मै याः इष्टकाः यावतीः वा","लोकादिमग्निं तमुवाच तस्मै या इष्टका यावतीर्वा यथा वा।#स चापि तत्प्रत्यवदद्यथोक्तमथास्य मृत्युः पुनरेवाह तुष्टः॥15॥ "
"तम् अब्रवीत् प्रीयमाणः महा-आत्मा वरम् तव इह अद्य ददामि भूयः तव एव नाम्ना भविता अयम् अग्निः सृङ्काम् च इमाम् अनेक-रूपाम् गृहाण","तम् भूयः तव एव नाम्ना भविता अयम् अग्निः सृङ्काम् च इमाम् अब्रवीत् अनेक-रूपाम् गृहाण प्रीयमाणः महा-आत्मा वरम् तव इह अद्य ददामि","तमब्रवीत्प्रीयमाणो महात्मा वरं तवेहाद्य ददामि भूयः।#तवैव नाम्ना भवितायमग्निः सृङ्कां चेमामनेकरूपां गृहाण॥16॥"
"त्रि-नाचिकेतः त्रिभिः एत्य सन्धिम् त्रि-कर्म-कृत् तरति जन्म-मृत्यू ब्रह्म-ज-ज्ञम् देवम् ईड्यम् विदित्वा निचाय्य इमाम् शान्तिम् अत्यन्तम् एति","त्रि-नाचिकेतः ईड्यम् विदित्वा निचाय्य इमाम् शान्तिम् अत्यन्तम् एति त्रिभिः एत्य सन्धिम् त्रि-कर्म-कृत् तरति जन्म-मृत्यू ब्रह्म-ज-ज्ञम् देवम्","त्रिणाचिकेतस्त्रिभिरेत्य सन्धिं त्रिकर्मकृत्तरति जन्ममृत्यू।#ब्रह्मजज्ञं देवमीड्यं विदित्वा निचाय्येमां शान्तिमत्यन्तमेति॥17॥"
"त्रि-नाचिकेतः त्रयम् एतद् विदित्वा यः एवम् विद्वान् चिनुते नाचिकेतम् सः मृत्यु-पाशान् पुरतः प्रणोद्य शोक-अतिगः मोदते स्वर्ग-लोके","त्रि-नाचिकेतः सः मृत्यु-पाशान् पुरतः प्रणोद्य शोक-अतिगः मोदते स्वर्ग-लोके त्रयम् एतद् विदित्वा यः एवम् विद्वान् चिनुते नाचिकेतम्","त्रिणाचिकेतस्त्रयमेतद्विदित्वा य एवं विद्वांश्चिनुते नाचिकेतम्।#स मृत्युपाशान्पुरतः प्रणोद्य शोकातिगो मोदते स्वर्गलोके॥18॥ "
"एषः ते अग्निः नचिकेतः स्वर्ग्यः (अस्ति) यम् अवृणीथाः द्वितीयेन वरेण एतम् अग्निम् तव एव प्रवक्ष्यन्ति जनासः तृतीयम् वरम् नचिकेतः वृणीष्व","एषः वरेण एतम् अग्निम् तव एव प्रवक्ष्यन्ति जनासः तृतीयम् वरम् नचिकेतः ते वृणीष्व अग्निः नचिकेतः स्वर्ग्यः (अस्ति) यम् अवृणीथाः द्वितीयेन","एष तेऽग्निर्नचिकेतः स्वर्ग्यो यमवृणीथा द्वितीयेन वरेण।#एतमग्निं तवैव प्रवक्ष्यन्ति जनासस्तृतीयं वरं नचिकेतो वृणीष्व॥19॥"
"या इयम् प्रेते विचिकित्सा मनुष्ये (अस्ति) अस्ति इति एके न अयम् अस्ति इति च एके एतत् विद्याम् अनुशिष्टः त्वया अहम् वराणाम् एषः वरः तृतीयः (अस्ति)","या न अयम् अस्ति इति च एके एतत् विद्याम् अनुशिष्टः त्वया इयम् अहम् वराणाम् एषः वरः तृतीयः (अस्ति) प्रेते विचिकित्सा मनुष्ये (अस्ति) अस्ति इति एके","येयं प्रेते विचिकित्सा मनुष्ये अस्तीत्येके नायमस्तीति चैके।#एतद्विद्यामनुशिष्टस्त्वयाहं वराणामेष वरस्तृतीयः॥20॥ "
"देवैः अत्र अपि विचिकित्सितम् पुरा न हि सुविज्ञेयम् अणुः एषः धर्मः (अस्ति) अन्यम् वरम् नचिकेतः वृणीष्व मा मा उपरोत्सीः मा(माम्) अतिसृज एनम्","देवैः एषः धर्मः (अस्ति) अन्यम् वरम् नचिकेतः वृणीष्व मा मा उपरोत्सीः अत्र मा(माम्) अतिसृज एनम् अपि विचिकित्सितम् पुरा न हि सुविज्ञेयम् अणुः","देवैरत्रापि विचिकित्सितं पुरा न हि सुविज्ञेयमणुरेष धर्मः।#अन्यं वरं नचिकेतो वृणीष्व मा मोपरोत्सीरति मा सृजैनम्॥21॥ "
"देवैः अत्र अपि विचिकित्सितम् किल त्वम् च मृत्यो यत् न सु-ज्ञेयम् आत्थ वक्ता च अस्य त्वादृक् अन्यः न लभ्यः न अन्यः वरः तुल्यः एतस्य कश्चित् (अस्ति)","देवैः न सु-ज्ञेयम् आत्थ वक्ता च अस्य त्वादृक् अन्यः न अत्र लभ्यः न अन्यः वरः तुल्यः एतस्य कश्चित् (अस्ति) अपि विचिकित्सितम् किल त्वम् च मृत्यो यत्","देवैरत्रापि विचिकित्सितं किल त्वं च मृत्यो यन्न सुज्ञेयमात्थ।#वक्ता चास्य त्वादृगन्यो न लभ्यो नान्यो वरस्तुल्य एतस्य कश्चित्॥22॥ "
"शत-आयुषः पुत्र-पौत्रान् वृणीष्व बहून् पशून् हस्ति-हिरण्यम् अश्वान् भूमेः महत् आयतनम् वृणीष्व स्वयम् च जीव शरदः यावत् इच्छसि","शत-आयुषः आयतनम् वृणीष्व स्वयम् च जीव शरदः यावत् इच्छसि पुत्र-पौत्रान् वृणीष्व बहून् पशून् हस्ति-हिरण्यम् अश्वान् भूमेः महत्","शतायुषः पुत्रपौत्रान्वृणीष्व बहून्पशून्हस्तिहिरण्यमश्वान्।#भूमेर्महदायतनं वृणीष्व स्वयं च जीव शरदो यावदिच्छसि॥23॥"
"एतत् तुल्यम् यदि मन्यसे वरम् वृणीष्व वित्तम् चिर-जीविकाम् च महा-भूमौ नचिकेतः त्वम् एधि कामानाम् त्वा काम-भाजम् करोमि","एतत् महा-भूमौ नचिकेतः त्वम् एधि कामानाम् त्वा काम-भाजम् करोमि तुल्यम् यदि मन्यसे वरम् वृणीष्व वित्तम् चिर-जीविकाम् च","एतत्तुल्यं यदि मन्यसे वरं वृणीष्व वित्तं चिरजीविकां च।#महाभूमौ नचिकेतस्त्वमेधि कामानां त्वा कामभाजं करोमि॥24॥ "
"ये ये कामाः दुर्लभाः मर्त्य-लोके सर्वान् कामान् छन्दतः प्रार्थयस्व इमाः रामाः स-रथाः स-तूर्याः न हि ईदृशाः लम्भनीयाः मनुष्यैः आभिः मत्-प्रत्ताभिः परिचारयस्व नचिकेतः मरणम् मा अनुप्राक्षीः","ये इमाः रामाः स-रथाः स-तूर्याः न हि ईदृशाः लम्भनीयाः मनुष्यैः आभिः ये मत्-प्रत्ताभिः परिचारयस्व नचिकेतः मरणम् मा अनुप्राक्षीः कामाः दुर्लभाः मर्त्य-लोके सर्वान् कामान् छन्दतः प्रार्थयस्व","ये ये कामा दुर्लभा मर्त्यलोके सर्वान्कामांश्छन्दतः प्रार्थयस्व।#इमा रामाः सरथाः सतूर्या न हीदृशा लम्भनीया मनुष्यैः।#आभिर्मत्प्रत्ताभिः परिचारयस्व नचिकेतो मरणं मानुप्राक्षीः॥25॥ "
"श्वो-भावाः मर्त्यस्य यत् अन्तक एतत् (अस्ति) सर्व-इन्द्रियाणाम् जरयन्ति तेजः अपि सर्वम् जीवितम् अल्पम् एव (अस्ति) तव एव वाहाः तव नृत्य-गीते","श्वो-भावाः अपि सर्वम् जीवितम् अल्पम् एव (अस्ति) तव एव वाहाः तव मर्त्यस्य नृत्य-गीते यत् अन्तक एतत् (अस्ति) सर्व-इन्द्रियाणाम् जरयन्ति तेजः","श्वोभावा मर्त्यस्य यदन्तकैतत्सर्वेन्द्रियाणां जरयन्ति तेजः।#अपि सर्वं जीवितमल्पमेव तवैव वाहास्तव नृत्यगीते॥26॥ "
"न वित्तेन तर्पणीयः मनुष्यः लप्स्यामहे वित्तम् अद्राक्ष्म चेत् त्वा जीविष्यामः यावद् ईशिष्यसि त्वम् वरः तु मे वरणीयः सः एव","न जीविष्यामः यावद् ईशिष्यसि त्वम् वरः तु मे वरणीयः सः एव वित्तेन तर्पणीयः मनुष्यः लप्स्यामहे वित्तम् अद्राक्ष्म चेत् त्वा","न वित्तेन तर्पणीयो मनुष्यो लप्स्यामहे वित्तमद्राक्ष्म चेत्त्वा।#जीविष्यामो यावदीशिष्यसि त्वं वरस्तु मे वरणीयः स एव॥27॥"
"अजीर्यताम् अमृतानाम् उपेत्य जीर्यन् मर्त्यः क्वधःस्थः प्रजानन् (अस्ति) अभिध्यायन् वर्ण-रति-प्रमोदान् अति-दीर्घे जीविते कः रमेत","अजीर्यताम् वर्ण-रति-प्रमोदान् अति-दीर्घे जीविते कः रमेत अमृतानाम् उपेत्य जीर्यन् मर्त्यः क्वधःस्थः प्रजानन् (अस्ति) अभिध्यायन्","अजीर्यताममृतानामुपेत्य जीर्यन्मर्त्यः क्वधःस्थः प्रजानन्।#अभिध्यायन्वर्णरतिप्रमोदानतिदीर्घे जीविते को रमेत॥28॥"
"यस्मिन् इदम् विचिकित्सन्ति मृत्यो यत् साम्पराये महति ब्रूहि नः तत् यः अयम् वरः गूढम् अनुप्रविष्टः (अस्ति) न अन्यम् तस्मात् नचिकेताः वृणीते","यस्मिन् तत् यः अयम् वरः गूढम् अनुप्रविष्टः (अस्ति) न अन्यम् तस्मात् इदम् नचिकेताः वृणीते विचिकित्सन्ति मृत्यो यत् साम्पराये महति ब्रूहि नः","यस्मिन्निदं विचिकित्सन्ति मृत्यो यत्साम्पराये महति ब्रूहि नस्तत्।#योऽयं वरो गूढमनुप्रविष्टो नान्यं तस्मान्नचिकेता वृणीते॥29॥ "
"अन्यत् श्रेयः अन्यत् उत एव प्रेयः ते उभे नानार्थे पुरुषम् सिनीतः तयोः श्रेयः आददानस्य साधु भवति हीयते अर्थात् यः उ प्रेयः वृणीते (सः)","अन्यत् पुरुषम् सिनीतः तयोः श्रेयः आददानस्य साधु भवति हीयते अर्थात् यः श्रेयः उ प्रेयः वृणीते (सः) अन्यत् उत एव प्रेयः ते उभे नानार्थे","अन्यच्छ्रेयोऽन्यदुतैव प्रेयस्ते उभे नानार्थे पुरुषं सिनीतः तयोः।#श्रेय आददानस्य साधु भवति हीयतेऽर्थाद्य उ प्रेयो वृणीते॥1॥ "
