anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	sentno	chaptno	slokano	book	part1	part2
3.1	pANdava-	4.1	pANdavAnIkaM	pANdava	pANdava	RaRTI-wawpuruRaH,3.2	RaRTI-wawpuruRaH,3.2	1	01	002	SrImaxBagavaxgIwA	-	-
3.2	anIkam	4.2	-	anIka{puM;2;eka}	anIka{puM;2;eka}	karma,1.1	karma,1.1	1	01	002	SrImaxBagavaxgIwA	-	-
4.1	vyUDam	3	vyUDaM	vyUDa{puM;2;eka}/vyUDa{napuM;1;eka}/vyUDa{napuM;2;eka}	vyUDa{puM;2;eka}	viSeRaNam,3.2	viSeRaNam,3.2	1	01	002	SrImaxBagavaxgIwA	-	-
5.1	xuryoXanaH	7	xuryoXanaswaxA	xuryoXana{puM;1;eka}	xuryoXana{puM;1;eka}	karwA,11.1	karwA,11.1	1	01	002	SrImaxBagavaxgIwA	-	-
6.1	waxA	1	-	waxA{avya}	waxA{avya}	kAlAXikaraNam,11.1	kAlAXikaraNam,11.1	1	01	002	SrImaxBagavaxgIwA	-	-
7.1	AcAryam	8	AcAryamupasafgamya	AcArya{puM;2;eka}	AcArya{puM;2;eka}	karma,8.1	karma,8.1	1	01	002	SrImaxBagavaxgIwA	-	-
8.1	upasafgamya	9	-	upasafgamya	upa_sam_gam1{kqw_prawyayaH:lyap;upa_sam_gamLz;BvAxiH}	pUrvakAlaH,11.1	pUrvakAlaH,11.1	1	01	002	SrImaxBagavaxgIwA	-	-
9.1	rAjA	6	rAjA	rAjan{puM;1;eka}	rAjan{puM;1;eka}	viSeRaNam,5.1	viSeRaNam,5.1	1	01	002	SrImaxBagavaxgIwA	-	-
1.1	paSya	12	paSyEwAM	xqS1{karwari;lot;ma;eka;parasmEpaxI;xqSizr;BvAxiH}	xqS1{karwari;lot;ma;eka;parasmEpaxI;xqSizr;BvAxiH}	aBihiwa_karwA,12.1;sakarmakaH.1	aBihiwa_karwA,12.1;sakarmakaH.1	1	01	003	SrImaxBagavaxgIwA	-	-
10.1	SiRyeNa	4	SiRyeNa	SiRya{puM}{3;eka}	SiRya{puM}{3;eka}	aBexaH,8.2	aBexaH,8.2	1	01	003	SrImaxBagavaxgIwA	-	-
11.1	XImawA	3	XImawA	XImaw{puM}{3;eka}/XImaw{napuM}{3;eka}	XImaw{puM}{3;eka}	viSeRaNam,10.1	viSeRaNam,10.1	1	01	003	SrImaxBagavaxgIwA	-	-
12.1	(wvam)	11	-	yuRmax{1;eka}	yuRmax{1;eka}	karwA,1.1	karwA,1.1	1	01	003	SrImaxBagavaxgIwA	-	-
2.1	ewAm	8	-	ewA{swrI}{2;eka}/ewax{swrI}{2;eka}/Af_i1{karwari;lot;pra;xvi;parasmEpaxI;iN;axAxiH}	ewax{swrI}{2;eka}	viSeRaNam,6.1	viSeRaNam,6.1	1	01	003	SrImaxBagavaxgIwA	-	-
3.1	pANdu-	7.1	pANdupuwrANAmacArya	pANdu	pANdu	RaRTI-wawpuruRaH,3.2	RaRTI-wawpuruRaH,3.2	1	01	003	SrImaxBagavaxgIwA	-	-
3.2	puwrANAm	7.2	-	puwra{puM}{6;bahu}	puwra{puM}{6;bahu}	RaRTIsambanXaH,6.1	RaRTIsambanXaH,6.1	1	01	003	SrImaxBagavaxgIwA	-	-
4.1	AcArya	1	-	AcArya{puM}{8;eka}	AcArya{puM}{8;eka}	samboXyaH,1.1	samboXyaH,1.1	1	01	003	SrImaxBagavaxgIwA	-	-
5.1	mahawIm	9	mahawIM	mahawI{swrI}{2;eka}	mahawI{swrI}{2;eka}	viSeRaNam,6.1	viSeRaNam,6.1	1	01	003	SrImaxBagavaxgIwA	-	-
6.1	camUm	10	camUm	camU{swrI}{2;eka}	camU{swrI}{2;eka}	karma,1.1	karma,1.1	1	01	003	SrImaxBagavaxgIwA	-	-
7.1	vyUDAm	6	vyUDAM	vyUDA{swrI}{2;eka}	vyUDA{swrI}{2;eka}	viSeRaNam,6.1	viSeRaNam,6.1	1	01	003	SrImaxBagavaxgIwA	-	-
8.1	xrupaxa-	5.1	xrupaxapuwreNa	xrupaxa	xrupaxa	RaRTI-wawpuruRaH,8.2	RaRTI-wawpuruRaH,8.2	1	01	003	SrImaxBagavaxgIwA	-	-
8.2	puwreNa	5.2	-	puwra{puM}{3;eka}	puwra{puM}{3;eka}	hewuH,7.1	hewuH,7.1	1	01	003	SrImaxBagavaxgIwA	-	-
9.1	wava	2	wava	yuRmax{6;eka}	yuRmax{6;eka}	RaRTIsambanXaH,10.1	RaRTIsambanXaH,10.1	1	01	003	SrImaxBagavaxgIwA	-	-
1.1	awra	1	awra	awra{avya}	awra{avya}	viSeRaNam,5.1	viSeRaNam,5.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
10.1	ca	30	-	ca{avya}	ca{avya}	samuccaya_xyowakaH,32.1	samuccaya_xyowakaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
11.1	mahAn-	5.1	mahAraWaH	mahAn	mahAn	bahuvrIhiH,11.2	bahuvrIhiH,11.2	1	01	004-006	SrImaxBagavaxgIwA	-	-
11.2	raWaH	5.2	-	raWa{puM;1;eka}	raWa{puM;1;eka}	viSeRaNam,9.1	viSeRaNam,9.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
12.1	XqRtakewuH	8	XqRtakewuScekiwAnaH	XqRtakewu{puM;1;eka}	XqRtakewu{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
13.1	cekiwAnaH	9	-	cekiwAna{puM;1;eka}	cekiwAna{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
14.1	kASirAjaH	11	kASirAjaSca	kASirAja{puM;1;eka}	kASirAja{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
15.1	ca	15	-	ca{avya}	ca{avya}	samuccaya_xyowakaH,32.1	samuccaya_xyowakaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
16.1	vIryavAn	10	vIryavAn	vIryavaw{puM;1;eka}/vIryavaw{puM;1;eka}	vIryavaw{puM;1;eka}	viSeRaNam,14.1	viSeRaNam,14.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
17.1	purujiw	12	purujiwkunwiBojaSca	purujiw{puM;1;eka}	purujiw{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
18.1	kunwiBojaH	13	-	kunwiBoja{puM;1;eka}	kunwiBoja{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
19.1	ca	18	-	ca{avya}	ca{avya}	samuccaya_xyowakaH,32.1	samuccaya_xyowakaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
2.1	SUrAH	29	SUrA	SUra{puM;1;bahu}/SUrA{swrI;1;bahu}/SUrA{swrI;2;bahu}	SUra{puM;1;bahu}	viSeRaNam,32.1	viSeRaNam,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
20.1	SEbyaH	16	SEbyaSca	SEbya{puM;1;eka}	SEbya{puM}{1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
21.1	ca	21	-	ca{avya}	ca{avya}	samuccaya_xyowakaH,32.1	samuccaya_xyowakaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
22.1	nara-	14.1	narapufgavaH	nara	nara	sapwamI-wawpuruRaH,22.2	sapwamI-wawpuruRaH,22.2	1	01	004-006	SrImaxBagavaxgIwA	-	-
22.2	pufgavaH	14.2	-	pufgava{puM;1;eka}	pufgava{puM;1;eka}	viSeRaNam,20.1	viSeRaNam,20.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
23.1	yuXAmanyuH	19	yuXAmanyuSca	yuXAmanyu{puM;1;eka}	yuXAmanyu{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
24.1	ca	25	-	ca{avya}	ca{avya}	samuccaya_xyowakaH,32.1	samuccaya_xyowakaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
25.1	vikrAnwaH	17	vikrAnwa	vikrAnwa{puM;1;eka}	vikrAnwa{puM;1;eka}	viSeRaNam,23.1	viSeRaNam,23.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
26.1	uwwamOjAH	22	uwwamOjASca	uwwamOjas{puM;1;eka}	uwwamOjas{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
27.1	ca	23	-	ca{avya}	ca{avya}	samuccaya_xyowakaH,32.1	samuccaya_xyowakaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
28.1	vIryavAn	20	vIryavAn	vIryavaw{puM;1;eka}/vIryavaw{puM;1;eka}	vIryavaw{puM;1;eka}	viSeRaNam,26.1	viSeRaNam,26.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
29.1	sOBaxraH	24	sOBaxro	sOBaxra{puM;1;eka}	sOBaxra{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
3.1	mahA-	33.1	maheRvAsA	mahaw	mahaw	bahuvrIhiH,3.2	bahuvrIhiH,3.2	1	01	004-006	SrImaxBagavaxgIwA	-	-
3.2	iRvAsAH	33.2	-	iRvAsa{puM;1;bahu}	iRvAsa{puM;1;bahu}	viSeRaNam,32.1	viSeRaNam,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
30.1	xrOpaxeyAH	26	xrOpaxeyASca	xrOpaxeya{puM;1;bahu}	xrOpaxeya{puM;1;bahu}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
31.1	ca	27	-	ca{avya}	ca{avya}	samuccaya_xyowakaH,32.1	samuccaya_xyowakaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
32.1	sarve	31	sarva	sarva{puM;1;bahu}/sarva{napuM;1;xvi}/sarva{napuM;2;xvi}/sarvA{swrI;1;xvi}/sarvA{swrI;2;xvi}	sarva{puM;1;bahu}	karwA,35.1	karwA,35.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
33.1	eva	32	eva	eva{avya}	eva{avya}	sambanXaH,34.2	sambanXaH,34.2	1	01	004-006	SrImaxBagavaxgIwA	-	-
34.1	mahAn-	34.1	mahAraWAH	mahAn	mahAn	bahuvrIhiH,34.2	bahuvrIhiH,34.2	1	01	004-006	SrImaxBagavaxgIwA	-	-
34.2	raWAH	34.2	-	raWa{puM;1;bahu}	raWa{puM;1;bahu}	viXeya_viSeRaNam,32.1	viXeya_viSeRaNam,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
35.1	(sanwi)	35	-	(saw{napuM;1;bahu}/saw{napuM;2;bahu}/as2{karwari;lat;pra;bahu;parasmEpaxI;asaz;axAxiH})	(as2{karwari;lat;pra;bahu;parasmEpaxI;asaz;axAxiH})	aBihiwa_karwA,32.1;akarmakaH.1	aBihiwa_karwA,32.1;akarmakaH.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
4.1	BIma-	28.1	BImArjunasamA	BIma	BIma	xvanxvaH,4.2	xvanxvaH,4.2	1	01	004-006	SrImaxBagavaxgIwA	-	-
4.2	arjuna-	28.2	-	arjuna	arjuna	bahuvrIhiH,4.3	bahuvrIhiH,4.3	1	01	004-006	SrImaxBagavaxgIwA	-	-
4.3	samAH	28.3	-	sama{puM;1;bahu}/samA{swrI;1;bahu}/samA{swrI;2;bahu}/samA{swrI;1;bahu}/samA{swrI;2;bahu}	sama{puM;1;bahu}	viSeRaNam,32.1	viSeRaNam,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
5.1	yuXi	2	yuXi	yuX{swrI;7;eka}	yuX{swrI;7;eka}	aXikaraNam,35.1	aXikaraNam,35.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
6.1	yuyuXAnaH	3	yuyuXAno	yuyuXAna{puM;1;eka}	yuyuXAna{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
7.1	virAtaH	4	virAtaSca	virAta{puM;1;eka}	virAta{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
8.1	ca	6	-	ca{avya}	ca{avya}	samuccaya_xyowakaH,32.1	samuccaya_xyowakaH,32.1#sambanXaH,7.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
9.1	xrupaxaH	7	xrupaxaSca	xrupaxa{puM;1;eka}	xrupaxa{puM;1;eka}	samucciwaH,32.1	samucciwaH,32.1	1	01	004-006	SrImaxBagavaxgIwA	-	-
1.1	asmAkam	2	asmAkaM	asmax{6;bahu}	asmax{6;bahu}	nirXAraNam,3.1	RaRTIsambanXaH,3.1#nirXAraNam,3.1	1	01	007	SrImaxBagavaxgIwA	-	-
16.1	(sanwi)	6	-	(saw{napuM;1;bahu}/saw{napuM;2;bahu}/saw{napuM;8;bahu}/sanwI{swrI;8;eka}/as2{karwari;lat;pra;bahu;parasmEpaxI;asaz;axAxiH})	(as2{karwari;lat;pra;bahu;parasmEpaxI;asaz;axAxiH})	aBihiwakarwA,4.1;akarmakaH.1	aBihiwakarwA,4.1;akarmakaH.1	1	01	007	SrImaxBagavaxgIwA	-	-
2.1	wu	3	wu	wu{avya}	wu{avya}	sambanXaH,1.1	sambanXaH,1.1	1	01	007	SrImaxBagavaxgIwA	-	-
3.1	viSiRtAH	5	viSiRtA	viSiRta{puM;1;bahu}/viSiRta{puM;8;bahu}/viSiRtA{swrI;1;bahu}/viSiRtA{swrI;2;bahu}/viSiRtA{swrI;8;bahu}/viSiRtA{swrI}{1;bahu}/viSiRtA{swrI}{2;bahu}/viSiRtA{swrI}{8;bahu}	viSiRta{puM;1;bahu}	viXeya_viSeRaNam,4.1	viXeya_viSeRaNam,4.1	1	01	007	SrImaxBagavaxgIwA	-	-
4.1	ye	4	ye	yax{puM;1;bahu}/yax{swrI;1;xvi}/yax{swrI;2;xvi}/yax{napuM;1;xvi}/yax{napuM;2;xvi}	yax{puM;1;bahu}	karwA,16.1;niwyasambanXaH,5.1	karwA,16.1;niwyasambanXaH,5.1	1	01	007	SrImaxBagavaxgIwA	-	-
5.1	wAn	7	wAnniboXa	wax{puM}{2;bahu}	wax{puM}{2;bahu}	karma,6.1	karma,6.1	1	01	007	SrImaxBagavaxgIwA	-	-
6.1	niboXa	9	-	ni_buX1{karwari;lot;ma;eka;parasmEpaxI;buXaz;BvAxiH}/ni_buX2{karwari;lot;ma;eka;parasmEpaxI;buXizr;BvAxiH}	ni_buX2{karwari;lot;ma;eka;parasmEpaxI;ni_buXizr;BvAxiH}	aBihiwa_karwA,6.1.1;sakarmakaH.1	aBihiwa_karwA,6.1.1;sakarmakaH.1	1	01	007	SrImaxBagavaxgIwA	-	-
6.1.1	(wvam)	8	-	(yuRmax{sarvanAma;1;eka})	(yuRmax{sarvanAma;1;eka})	karwA,6.1	karwA,6.1	1	01	007	SrImaxBagavaxgIwA	-	-
7.1	xvija-	1.1	xvijowwama	xvija	xvija	sapwamI-wawpuruRaH,7.2	sapwamI-wawpuruRaH,7.2	1	01	007	SrImaxBagavaxgIwA	-	-
7.2	uwwama	1.2	-	uwwama{puM;8;eka}/uwwama{napuM;8;eka}	uwwama{puM;8;eka}	samboXyaH,6.1	samboXyaH,13.1#samboXyaH,6.1	1	01	007	SrImaxBagavaxgIwA	-	-
10.1	sEnyasya	11	sEnyasya	sEnya{puM;6;eka}	sEnya{puM;6;eka}	RaRTIsambanXaH,8.1	RaRTIsambanXaH,8.1	2	01	007	SrImaxBagavaxgIwA	-	-
10.1.1	(sanwi)	14	-	(saw{napuM;1;bahu}/saw{napuM;2;bahu}/saw{napuM;8;bahu}/sanwI{swrI;8;eka}/as2{karwari;lat;pra;bahu;parasmEpaxI;asaz;axAxiH})	(as2{karwari;lat;pra;bahu;parasmEpaxI;asaz;axAxiH})	aBihiwakarwA,10.2.1;akarmakaH.1	aBihiwakarwA,10.2.1;akarmakaH.1	2	01	007	SrImaxBagavaxgIwA	-	-
10.2.1	(ye)	12	-	yax{puM;1;bahu}/yax{swrI;1;xvi}/yax{swrI;2;xvi}/yax{napuM;1;xvi}/yax{napuM;2;xvi}	yax{puM;1;bahu}	karwA,10.1.1;niwyasambanXaH,12.1	karwA,10.1.1;niwyasambanXaH,12.1	2	01	007	SrImaxBagavaxgIwA	-	-
11.1	saFjFA-	18.1	saFjFArWaM	saFjFA	saFjFA	cawurWI-wawpuruRaH,11.2	cawurWI-wawpuruRaH,11.2	2	01	007	SrImaxBagavaxgIwA	-	-
11.2	arWam	18.2	-	arWa{puM;2;eka}/arWa{napuM;1;eka}/arWa{napuM;2;eka}	arWa{puM;2;eka}	prayojanam,13.1	prayojanam,13.1	2	01	007	SrImaxBagavaxgIwA	-	-
12.1	wAn	15	wAnbravImi	wax{puM;2;bahu}	wax{puM;2;bahu}	karma,13.1	karma,13.1	2	01	007	SrImaxBagavaxgIwA	-	-
13.1	bravImi	19	-	brU1{karwari;lat;u;eka;AwmanepaxI;brUF;axAxiH}	brU1{karwari;lat;u;eka;parasmEpaxI;brUF;axAxiH}	aBihiwa_karwA,15.1;sakarmakaH.1	aBihiwa_karwA,15.1;sakarmakaH.1	2	01	007	SrImaxBagavaxgIwA	-	-
14.1	we	17	we	wax{puM;1;bahu}/wax{swrI;1;xvi}/wax{swrI}{2;xvi}/wax{napuM;1;xvi}/wax{napuM;2;xvi}/yuRmax{4;eka}/yuRmax{6;eka}	yuRmax{6;eka}	RaRTIsambanXaH,11.2	RaRTIsambanXaH,11.2	2	01	007	SrImaxBagavaxgIwA	-	-
15.1	(aham)	16	-	(asmax{1;eka})	(asmax{1;eka})	karwA,13.1	karwA,13.1	2	01	007	SrImaxBagavaxgIwA	-	-
8.1	nAyakAH	13	nAyakA	nAyaka{puM;1;bahu}/nAyaka{puM;8;bahu}	nAyaka{puM;1;bahu}	viXeya_viSeRaNam,10.2.1	viXeya_viSeRaNam,10.2.1	2	01	007	SrImaxBagavaxgIwA	-	-
9.1	mama	10	mama	asmax{6;eka}/mA1{karwari;lit;ma;bahu;parasmEpaxI;mA;axAxiH}	asmax{6;eka}	RaRTIsambanXaH,10.1	RaRTIsambanXaH,10.1	2	01	007	SrImaxBagavaxgIwA	-	-
1.1	BavAn	1	BavAnBIRmaSca	Bava{puM;2;bahu}/Bavaw{sarvanAma;puM;1;eka}	Bavaw{sarvanAma;puM;1;eka}	samucciwaH,12.1	viSeRaNam,12.1#viSeRaNam,10.1#viSeRaNam,9.1#viSeRaNam,8.1#viSeRaNam,6.1#viSeRaNam,4.1#viSeRaNam,2.1#samucciwaH,12.1#sup_samucciwaH,10.1#sup_samucciwaH,6.1#sup_samucciwaH,4.1#sup_samucciwaH,2.1	1	01	008	SrImaxBagavaxgIwA	-	-
10.1	vikarNaH	10	vikarNaSca	vikarNa{puM;1;eka}	vikarNa{puM;1;eka}	samucciwaH,12.1	samucciwaH,12.1#karwA_be_verbs,16.1	1	01	008	SrImaxBagavaxgIwA	-	-
11.1	ca	11	-	ca{avya}	ca{avya}	sambanXaH,10.1	samucciwaH,14.1#samuccaya_xyowakaH,10.1#sambanXaH,10.1	1	01	008	SrImaxBagavaxgIwA	-	-
12.1	sOmaxawwiH	14	sOmaxawwiH	sOmaxawwi{puM;1;eka}	sOmaxawwi{puM;1;eka}	karwA,16.1	karwA_be_verbs,16.1;karwA,16.1	1	01	008	SrImaxBagavaxgIwA	-	-
13.1	waWA	12	-	waWA{avya}	waWA{avya}	samuccaya_xyowakaH,12.1	samucciwaH,14.1#samuccaya_xyowakaH,12.1#kriyAviSeRaNam,16.1	1	01	008	SrImaxBagavaxgIwA	-	-
14.1	eva	13	-	eva{avya}	eva{avya}	sambanXaH,13.1	sambanXaH,15.1#sambanXaH,13.1	1	01	008	SrImaxBagavaxgIwA	-	-
15.1	ca	15	-	ca{avya}	ca{avya}	sambanXaH,14.1	samuccaya_xyowakaH,14.1#sambanXaH,16.1#sambanXaH,14.1	1	01	008	SrImaxBagavaxgIwA	-	-
16.1	(aswi)	16	(aswi)	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;axAxiH}	aBihiwa_karwA,12.1	aBihiwa_karwA,12.1	1	01	008	SrImaxBagavaxgIwA	-	-
2.1	BIRmaH	2	-	BIRma{puM;1;eka}	BIRma{puM;1;eka}	samucciwaH,12.1	samucciwaH,12.1#samucciwaH,10.1#samucciwaH,6.1#samucciwaH,4.1	1	01	008	SrImaxBagavaxgIwA	-	-
3.1	ca	3	-	ca{avya}	ca{avya}	sambanXaH,2.1	samuccaya_xyowakaH,2.1#sambanXaH,2.1	1	01	008	SrImaxBagavaxgIwA	-	-
4.1	karNaH	4	karNaSca	karNa{puM;1;eka}	karNa{puM;1;eka}	samucciwaH,12.1	samucciwaH,12.1#samucciwaH,10.1#samucciwaH,6.1	1	01	008	SrImaxBagavaxgIwA	-	-
5.1	ca	5	-	ca{avya}	ca{avya}	sambanXaH,4.1	samuccaya_xyowakaH,4.1#sambanXaH,4.1	1	01	008	SrImaxBagavaxgIwA	-	-
6.1	kqpaH	8	kqpaSca	kqpa{puM;1;eka}	kqpa{puM;1;eka}	samucciwaH,12.1	samucciwaH,12.1#samucciwaH,10.1	1	01	008	SrImaxBagavaxgIwA	-	-
7.1	ca	7	-	ca{avya}	ca{avya}	sambanXaH,6.1	samuccaya_xyowakaH,6.1#sambanXaH,6.1	1	01	008	SrImaxBagavaxgIwA	-	-
8.1	samiwiFjayaH	6	samiwiFjayaH	samiwiFjaya{puM;1;eka}	samiwiFjaya{puM;1;eka}	samucciwaH,12.1	samucciwaH,12.1#samucciwaH,10.1	1	01	008	SrImaxBagavaxgIwA	-	-
9.1	aSvawWAmA	9	aSvawWAmA	aSvawWAman{puM;1;eka}	aSvawWAman{puM;1;eka}	samucciwaH,12.1	samucciwaH,12.1#samucciwaH,10.1#karwA_be_verbs,16.1	1	01	008	SrImaxBagavaxgIwA	-	-
1.1	anye	5	anye	an1{karmaNi;lat;u;eka;AwmanepaxI;axAxiH}/anya{sarvanAma;puM;1;bahu}/anya{sarvanAma;napuM;1;xvi}/anya{sarvanAma;napuM;2;xvi}/anyA{sarvanAma;swrI;1;xvi}/anyA{sarvanAma;swrI;2;xvi}	anya{sarvanAma;puM;1;bahu}	viSeRaNam,9.2	viSeRaNam,8.1#viSeRaNam,5.2#viSeRaNam,7.3#viSeRaNam,6.1#viSeRaNam,3.1#viSeRaNam,9.2	1	01	009	SrImaxBagavaxgIwA	-	-
10.1	(sanwi)	10	(sanwi)	as2{karwari;lat;pra;bahu;parasmEpaxI;axAxiH}/saw{napuM;8;bahu}/saw{napuM;1;bahu(as2;Sawq_lat;axAxiH)}/saw{napuM;2;bahu(as2;Sawq_lat;axAxiH)}	as2{karwari;lat;pra;bahu;parasmEpaxI;axAxiH}	aBihiwa_karwA,9.1	aBihiwa_karwA,9.1	1	01	009	SrImaxBagavaxgIwA	-	-
2.1	ca	6	ca	ca{avya}	ca{avya}	sambanXaH,1.1	sambanXaH,1.1	1	01	009	SrImaxBagavaxgIwA	-	-
